# Source: EPA Power Profiler crosswalk (USEPA/power-profiler GitHub, eGRID2023).
# (zip, wires utility) grain — feeds zip_supplier_candidates for non-CCA rows.
zip,state,eiaid,utility_name,subregion,predominant
01243,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01244,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01245,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01247,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01252,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01253,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01254,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01255,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01256,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01257,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01258,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01259,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01260,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01262,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01263,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01264,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
01266,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01267,MA,11804,Massachusetts Electric Co,NEWE,TRUE
01270,MA,20455,Western Massachusetts Electric Company,NEWE,TRUE
